id,name,city,state,country_code,latitude,longitude,ports,power_kw,power_class,is_fast_dc
308732,Jio BP Pulse,Bengaluru,Karnataka,IN,12.98931,77.50062,2.0,60.0,DC_FAST_(50-149kW),True
308731,Shell Recharge Mysore Road,Bengaluru,Karnataka,IN,12.94696,77.53247,5.0,120.0,DC_FAST_(50-149kW),True
308730,Gateway by Taj,Chikkamagaluru,Karnataka,IN,13.33696,75.81749,1.0,25.0,AC_HIGH_(22-49kW),False
308729,Grower's Cafe,Cheekanahalli,Karnataka,IN,13.10898,75.74099,1.0,30.0,AC_HIGH_(22-49kW),False
308728,Audi Service Center,Verna,Goa,IN,15.36121,73.95358,1.0,60.0,DC_FAST_(50-149kW),True
308727,1930 Vasco Mall,Vasco Da Gama,Goa,IN,15.39724,73.81304,1.0,60.0,DC_FAST_(50-149kW),True
308726,Magsons Supermarket,Vasco Da Gama,Goa,IN,15.38793,73.86319,1.0,30.0,AC_HIGH_(22-49kW),False
308725,Royal Orchid Beach Resort & Spa,Utorda,Goa,IN,15.3203,73.90176,1.0,60.0,DC_FAST_(50-149kW),True
308724,Fortune Resort Benaulim,Benaulim,Goa,IN,15.24629,73.92976,1.0,30.0,AC_HIGH_(22-49kW),False
308723,The St. Regis Resort,Cavelossim,Goa,IN,15.154127,73.951178,1.0,60.0,DC_FAST_(50-149kW),True
308722,Hotel Elite,Mallinathapura,Karnataka,IN,12.3459,76.43309,1.0,60.0,DC_FAST_(50-149kW),True
308721,Hotel Ankola International,Ankola,Karnataka,IN,14.666674,74.312212,1.0,60.0,DC_FAST_(50-149kW),True
308719,Hotel Sagar Residency,Honnavar,Karnataka,IN,14.290073,74.462795,1.0,60.0,DC_FAST_(50-149kW),True
308716,Shrreyas Inn Hemmadi,Kundapura,Karnataka,IN,13.632721,74.700461,1.0,60.0,DC_FAST_(50-149kW),True
308715,Manipal INN,Udupi,Karnataka,IN,13.350363,74.736959,1.0,60.0,DC_FAST_(50-149kW),True
308714,Hotel K1,Kaup,Karnataka,IN,13.225674,74.748624,1.0,60.0,DC_FAST_(50-149kW),True
308713,Ayodhya pure veg,Karkala,Karnataka,IN,13.194584,74.998946,1.0,30.0,AC_HIGH_(22-49kW),False
308711,Hotel Birwa Nelyadi,Nelyadi,Karnataka,IN,12.833854,75.413355,1.0,60.0,DC_FAST_(50-149kW),True
308708,Hotel Aditya View,Nidle,Karnataka,IN,12.931223,75.407105,1.0,24.0,AC_HIGH_(22-49kW),False
308679,Kengeri Charging Hub,Bengaluru,Karnataka,IN,12.905517,77.47375,4.0,75.0,DC_FAST_(50-149kW),True
308678,Akshaya Motors Mercedes-Benz,Bengaluru,Karnataka,IN,12.923963,77.497208,1.0,90.0,DC_FAST_(50-149kW),True
308663,MEI EV charging hub,Bengaluru,Karnataka,IN,13.026816,77.542613,1.0,30.0,AC_HIGH_(22-49kW),False
308662,Shell Recharge Tumkur Road,Bengaluru,Karnataka,IN,13.046726,77.50216,1.0,120.0,DC_FAST_(50-149kW),True
308661,Jio BP Nelamangala,Arasinakunte,Karnataka,IN,13.086525,77.408473,1.0,60.0,DC_FAST_(50-149kW),True
308660,Hana Impireal 75 Restaurant,Kunigal,Karnataka,IN,13.033113,77.087145,1.0,30.0,AC_HIGH_(22-49kW),False
308659,Hotel Empire Kunigal,Kunigal,Karnataka,IN,12.997771,76.924169,1.0,120.0,DC_FAST_(50-149kW),True
308658,Paakashala @ Yediyur,Kunigal,Karnataka,IN,12.99024,76.881823,1.0,60.0,DC_FAST_(50-149kW),True
308657,Hotel Mayur Veg,Kunigal,Karnataka,IN,12.988038,76.874646,1.0,24.0,AC_HIGH_(22-49kW),False
308656,Dharnika Comforts Bar & Family Restaurant,Yediyuru,Karnataka,IN,12.987621,76.873329,1.0,60.0,DC_FAST_(50-149kW),True
308655,Hotel Vaishali,Yediyur,Karnataka,IN,12.976021,76.82832,1.0,25.0,AC_HIGH_(22-49kW),False
308650,Mtr 1924,Nagamangala,Karnataka,IN,12.970104,76.801686,1.0,150.0,DC_ULTRA_(>=150kW),True
308649,Hotel Harsha Grand,Nagamangala,Karnataka,IN,12.966355,76.788373,6.0,60.0,DC_FAST_(50-149kW),True
308648,Cafe Coffee Day,Bellur,Karnataka,IN,12.96238,76.749119,1.0,50.0,DC_FAST_(50-149kW),True
308647,"Auto Matrix, Tata Motors",Hassan,Karnataka,IN,12.995358,76.079775,1.0,30.0,AC_HIGH_(22-49kW),False
308646,Surabhi's Delicacy,Bage,Karnataka,IN,12.956012,75.850318,1.0,25.0,AC_HIGH_(22-49kW),False
308645,Hotel Shiv Surya,Heddurga,Karnataka,IN,12.956363,75.917309,1.0,120.0,DC_FAST_(50-149kW),True
308643,Hotel Sky Birds,Ranganathapura,Karnataka,IN,12.986922,76.205989,8.0,200.0,DC_ULTRA_(>=150kW),True
308366,Aryaas Pure Veg,Unknown City,Tamil Nadu,IN,12.90702,78.9619,3.0,50.0,DC_FAST_(50-149kW),True
308365,Cafe Coffee Day,Chennai,Tamil Nadu,IN,12.888168,78.879632,5.0,360.0,DC_ULTRA_(>=150kW),True
308058,Vijaya Power Charging Station 60 + 60 kW,Shirwal,Maharashtra,IN,18.157327,73.960178,4.0,120.0,DC_FAST_(50-149kW),True
308057,Hotel Madhuban EV Charging Station,Amboli,Maharashtra,IN,16.002657,74.043575,2.0,60.0,DC_FAST_(50-149kW),True
308043,Vikaya Power Solutions,Shirwal,Maharashtra,IN,18.272046,73.853272,4.0,60.0,DC_FAST_(50-149kW),True
308042,Hotel Madhuban EV Charging Station,Amboli,Maharashtra,IN,16.002622,74.043493,2.0,60.0,DC_FAST_(50-149kW),True
307912,Vijata Power Charging Station 60 kW,Toap,Maharashtra,IN,16.782334,74.278181,3.0,60.0,DC_FAST_(50-149kW),True
307911,Vijaya Power Charging Station 60 Kw + 30 Kw,Kolhapur,Maharashtra,IN,16.703369,74.250457,3.0,60.0,DC_FAST_(50-149kW),True
307481,Powerbank Charging Station,Chandigarh,Punjab,IN,30.70254,76.729553,1.0,50.0,DC_FAST_(50-149kW),True
307480,Tata Power Charging Station,Chandigarh,Haryana,IN,30.7004,76.789585,2.0,50.0,DC_FAST_(50-149kW),True
307469,Hotel Golden hut,Kurukshetra,Haryana,IN,29.94598,76.899404,3.0,150.0,DC_ULTRA_(>=150kW),True
307468,"Golden Hut, Dera Bassi",Gholu Majra,Punjab,IN,30.544473,76.821536,2.0,30.0,AC_HIGH_(22-49kW),False
307467,The Gillz-Hotel & Restaurant,Ambala,Haryana,IN,30.282709,77.012754,2.0,30.0,AC_HIGH_(22-49kW),False
307466,BHEL Charging Station,Kurukshetra,Haryana,IN,29.975158,76.891809,4.0,50.0,DC_FAST_(50-149kW),True
307465,Haryana Tourism Resort,Uchana,Haryana,IN,29.745073,76.972687,2.0,50.0,DC_FAST_(50-149kW),True
307464,Statiq Charging Station,Karnal,Haryana,IN,29.726906,76.978632,1.0,30.0,AC_HIGH_(22-49kW),False
307463,Tata Power Charging Station,Sonipat,Haryana,IN,29.157943,77.035866,1.0,25.0,AC_HIGH_(22-49kW),False
307462,Tata Power Charging Station,Sonipat,Haryana,IN,29.004736,77.032644,2.0,25.0,AC_HIGH_(22-49kW),False
